County,Parcel,Address,HWA,EHS,DBH,Tag,Latitude,Longitude,Notes
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1577,43.052880,-86.22976,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1578,43.052880,-86.22976,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,5,1579,43.052880,-86.22976,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,19,1580,43.052890,-86.22965,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,29,1581,43.053060,-86.22943,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1582,43.053100,-86.22955,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,9,1583,43.053260,-86.22933,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1584,43.053260,-86.22933,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,15,1585,43.053390,-86.22952,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,17,1586,43.053390,-86.22952,Multistem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,21,1587,43.053390,-86.22952,Triplestem
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,18,1588,43.053310,-86.22958,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,14,1589,43.053300,-86.22945,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,7,1590,43.053260,-86.22939,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,8,1591,43.053230,-86.22948,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1592,43.053160,-86.2299,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1593,43.053530,-86.23005,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,14,1594,43.053500,-86.22993,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1596,43.053430,-86.22983,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1597,43.053570,-86.22941,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1598,43.053590,-86.22942,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1599,43.053530,-86.22948,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,5,1600,43.053680,-86.22967,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",No,Yes,6,1601,43.053690,-86.22979,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,12,1602,43.053780,-86.23021,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,14,1603,43.053820,-86.23023,
Ottawa,70-03-29-200-010,"Grand Haven, MI 49417",ND-Out of Reach,ND-Out of Reach,7,1604,43.053820,-86.23029,
